index,time,P1s1,P1s2,P2s1,P2s2,P3s1,P3s2,B1->T,B2->T,B3->T,1 final,2 final,3 final,Location
0,10.9,268.9,,194.5,,196.7,,268.9,194.5,196.7,241.0,191.0,191.0,[ 150.   118.5 -146.8]
1,11.0,,260.4,,190.8,,192.5,260.4,190.8,192.5,232.0,187.0,186.0,[ 142.4  116.6 -141.2]
2,11.1,266.4,,191.6,,192.3,,266.4,191.6,192.3,238.0,188.0,186.0,[ 149.2  119.8 -141.5]
3,11.2,,264.5,,191.8,,192.3,264.5,191.8,192.3,236.0,188.0,186.0,[ 146.5  118.9 -141.8]
4,11.3,266.3,,191.5,,193.0,,266.3,191.5,193.0,238.0,188.0,187.0,[ 149.2  119.  -142.2]
5,11.4,,263.1,,190.7,,192.3,263.1,190.7,192.3,235.0,187.0,186.0,[ 146.3  118.  -141.1]
6,11.5,266.3,,191.6,,194.5,,266.3,191.6,194.5,238.0,188.0,188.0,[ 149.2  118.2 -142.9]
7,11.6,,263.3,,191.9,,193.1,263.3,191.9,193.1,235.0,188.0,187.0,[ 145.2  117.6 -142.5]
8,11.7,266.7,,191.8,,192.6,,266.7,191.8,192.6,238.0,188.0,186.0,[ 149.2  119.8 -141.5]
9,11.8,,266.0,,192.7,,192.5,266.0,192.7,192.5,238.0,189.0,186.0,[ 148.1  120.3 -142.3]
10,11.9,271.3,,196.8,,194.8,,271.3,196.8,194.8,243.0,193.0,189.0,[ 150.6  122.  -146.6]
11,12.0,,263.4,,192.9,,192.2,263.4,192.9,192.2,235.0,189.0,186.0,[ 144.2  118.9 -142.5]
12,12.1,275.7,,197.9,,194.8,,275.7,197.9,194.8,247.0,194.0,189.0,[ 154.9  124.4 -146.8]
13,12.2,,267.4,,197.5,,196.3,267.4,197.5,196.3,239.0,194.0,190.0,[ 144.1  119.8 -148.3]
14,12.3,266.4,,191.4,,192.5,,266.4,191.4,192.5,238.0,188.0,186.0,[ 149.2  119.8 -141.5]
15,12.4,,264.6,,191.8,,192.7,264.6,191.8,192.7,236.0,188.0,187.0,[ 146.5  118.1 -142.4]
16,12.5,265.9,,191.9,,191.6,,265.9,191.9,191.6,238.0,188.0,185.0,[ 149.2  120.6 -140.9]
17,12.6,,261.5,,190.9,,192.3,261.5,190.9,192.3,233.0,187.0,186.0,[ 143.7  117.1 -141.2]
18,12.7,267.2,,193.3,,192.7,,267.2,193.3,192.7,239.0,190.0,187.0,[ 148.4  120.4 -143.5]
19,12.8,,262.4,,190.7,,192.6,262.4,190.7,192.6,234.0,187.0,186.0,[ 145.   117.5 -141.2]
20,12.9,269.0,,194.1,,192.9,,269.0,194.1,192.9,241.0,191.0,187.0,[ 150.   121.8 -144. ]
